source_url,action,target_url,reason,clicks_90d,impressions_90d,position_90d,confidence
https://zqremovals.au/,KEEP,,Homepage,107,3984,23.07,high
https://zqremovals.au/office-removals-adelaide/,KEEP,,"Core service — 2,021 impr, needs ranking work",1,2021,34.44,high
https://zqremovals.au/house-removals-adelaide/,KEEP,,"Core service — 1,889 impr, needs CTR work",2,1889,25.75,high
https://zqremovals.au/services/piano-movers-adelaide/,KEEP,,"Keep, do not invest — 21% of its impr is bot noise",2,1851,29.31,high
https://zqremovals.au/adelaide-to-brisbane-removals/,KEEP,,"Interstate route — 1,513 impr",0,1513,31.87,high
https://zqremovals.au/removalists-unley/,KEEP,,"Suburb page with real demand (1053 impr) — optimise, do not remove",1,1053,12.87,high
https://zqremovals.au/removalists-adelaide-prices/,KEEP,,Pricing canonical — target of cost cluster,0,990,15.05,high
https://zqremovals.au/adelaide-to-sydney-removalists/,KEEP,,Interstate route — 985 impr,0,985,32.95,high
https://zqremovals.au/removalists-adelaide/,KEEP,,Primary service hub,2,913,26.19,high
https://zqremovals.au/adelaide-moving-guides/moving-house-checklist-adelaide/,KEEP,,Guide with demand (650 impr),0,650,13.58,high
https://zqremovals.au/removalists-malvern/,KEEP,,"Suburb page with real demand (642 impr) — optimise, do not remove",0,642,18.16,high
https://zqremovals.au/removalists-northern-adelaide/,KEEP,,Regional hub,3,530,32.12,high
https://zqremovals.au/adelaide-to-melbourne-removalists/,KEEP,,Interstate route — 472 impr,0,472,32.95,high
https://zqremovals.au/packing-services-adelaide/,KEEP,,Core service,1,437,25.82,high
https://zqremovals.au/same-day-removalists-adelaide/,KEEP,,Core service — best converting service page,5,436,9.7,high
https://zqremovals.au/removalists-adelaide-cbd/,KEEP,,Regional hub,2,423,9.93,high
https://zqremovals.au/removalists-hyde-park/,KEEP,,"Suburb page with real demand (418 impr) — optimise, do not remove",0,418,9.57,high
https://zqremovals.au/removalists-southern-adelaide/,KEEP,,Regional hub,1,361,30.58,high
https://zqremovals.au/removalists-salisbury/,KEEP,,"Suburb page with real demand (347 impr) — optimise, do not remove",0,347,35.39,high
https://zqremovals.au/removalists-adelaide-hills/,KEEP,,Regional hub,2,306,24.31,high
https://zqremovals.au/door-2-door-movers-alternative-adelaide/,KEEP,,Retains traffic (0 clicks / 267 impr),0,267,8.02,medium
https://zqremovals.au/adelaide-to-canberra-removals/,KEEP,,Interstate route — 249 impr,0,249,23.88,high
https://zqremovals.au/removalists-unley-park/,KEEP,,"Suburb page with real demand (243 impr) — optimise, do not remove",0,243,6.14,high
https://zqremovals.au/adelaide-moving-guides/office-relocation-checklist-adelaide/,KEEP,,Guide with demand (238 impr),0,238,24.6,high
https://zqremovals.au/removalists-glenelg/,KEEP,,"Suburb page with real demand (236 impr) — optimise, do not remove",0,236,19.62,high
https://zqremovals.au/interstate-removals-adelaide/,KEEP,,Core service,0,198,15.64,high
https://zqremovals.au/contact-us/,KEEP,,Core page — converts (p4.3),1,191,4.26,high
https://zqremovals.au/removalists-linden-park/,KEEP,,"Suburb page with real demand (188 impr) — optimise, do not remove",0,188,27.52,high
https://zqremovals.au/about/,KEEP,,Core page,3,186,7.17,high
https://zqremovals.au/adelaide-to-perth-removals/,KEEP,,Interstate route — 169 impr,0,169,29.56,high
https://zqremovals.au/furniture-removalists-adelaide/,KEEP,,Core service,0,155,22.29,high
https://zqremovals.au/apartment-removalists-adelaide/,KEEP,,Core service (thin — rebuild),0,52,21.87,high
https://zqremovals.au/insurance-and-coverage/,KEEP,,"Trust page — keep, link from service pages",0,12,6.83,high
https://zqremovals.au/adelaide-moving-guides/,KEEP,,Guides hub,0,10,12.2,high
https://zqremovals.au/removalists-mawson-lakes/,KEEP-WATCH,,Suburb page with some traction (119 impr) — re-review in 90 days,0,119,22.14,medium
https://zqremovals.au/removalists-marion/,KEEP-WATCH,,Suburb page with some traction (99 impr) — re-review in 90 days,0,99,25.96,medium
https://zqremovals.au/removalists-norwood/,KEEP-WATCH,,Suburb page with some traction (96 impr) — re-review in 90 days,0,96,18.72,medium
https://zqremovals.au/removalists-modbury/,KEEP-WATCH,,Suburb page with some traction (96 impr) — re-review in 90 days,0,96,53.42,medium
https://zqremovals.au/removalists-goodwood/,KEEP-WATCH,,Suburb page with some traction (84 impr) — re-review in 90 days,3,84,6.0,medium
https://zqremovals.au/removalists-munno-para/,KEEP-WATCH,,Suburb page with some traction (84 impr) — re-review in 90 days,0,84,25.19,medium
https://zqremovals.au/removalists-andrews-farm/,KEEP-WATCH,,Suburb page with some traction (82 impr) — re-review in 90 days,1,82,12.24,medium
https://zqremovals.au/removalists-queens-park/,KEEP-WATCH,,Suburb page with some traction (77 impr) — re-review in 90 days,0,77,9.49,medium
https://zqremovals.au/removalists-elizabeth/,KEEP-WATCH,,Suburb page with some traction (74 impr) — re-review in 90 days,0,74,17.15,medium
https://zqremovals.au/removalists-woodcroft/,KEEP-WATCH,,Suburb page with some traction (64 impr) — re-review in 90 days,0,64,15.66,medium
https://zqremovals.au/adelaide-moving-guides/how-to-choose-removalists-adelaide/,KEEP-WATCH,,Guide with some traction (44 impr),0,44,22.07,medium
https://zqremovals.au/adelaide-moving-guides/prepare-house-move-adelaide/,KEEP-WATCH,,Guide with some traction (28 impr),0,28,22.29,medium
https://zqremovals.au/adelaide-moving-guides/best-time-to-move-adelaide/,KEEP-WATCH,,Guide with some traction (21 impr),0,21,7.19,medium
